resident,gender,job,age,position,price,survey,age2,resident2
5,2,1,48,4,7.7,3,장년층,시구군
1,2,3,21,1,6.3,3,청년층,특별시
2,0,1,55,4,5.5,3,장년층,광역시
1,2,2,43,4,4.5,4,중년층,특별시
2,1,1,20,1,3.5,1,청년층,광역시
1,5,2,26,1,7.1,4,청년층,특별시
3,1,3,24,1,6.1,4,청년층,광역시
4,1,3,59,5,5.5,4,장년층,광역시
3,0,1,45,4,5.1,4,중년층,광역시
1,1,3,27,2,4.4,4,청년층,특별시
