height,weight,label
182,82,fat
176,53,thin
151,77,fat
200,44,thin
183,70,normal
169,63,normal
169,87,fat
167,100,fat
197,85,normal
183,45,thin
199,40,thin
168,81,fat
194,71,normal
172,45,thin
191,50,thin
152,49,normal
159,43,thin
188,54,thin
158,99,fat
184,56,thin
161,80,fat
164,86,fat
151,53,normal
168,93,fat
186,93,fat
194,76,normal
198,56,thin
166,36,thin
168,90,fat
198,90,normal
163,56,normal
151,80,fat
172,72,fat
156,97,fat
173,88,fat
172,76,fat
152,73,fat
184,36,thin
169,75,fat
158,42,thin
170,65,normal
184,61,thin
157,46,normal
154,57,fat
197,90,normal
193,78,normal
167,40,thin
177,63,normal
173,75,fat
171,41,thin
190,75,normal
192,96,fat
163,63,normal
189,43,thin
156,96,fat
181,55,thin
182,60,thin
193,94,fat
184,84,fat
195,78,normal
162,52,normal
187,56,thin
183,95,fat
195,92,fat
159,49,normal
162,87,fat
163,57,normal
166,44,thin
170,95,fat
193,92,fat
183,46,thin
177,85,fat
162,56,normal
186,57,thin
191,53,thin
155,56,normal
196,76,normal
190,56,thin
152,64,fat
180,97,fat
197,52,thin
160,46,thin
179,64,normal
159,98,fat
200,53,thin
167,66,normal
183,68,normal
166,45,thin
175,55,thin
185,69,normal
184,38,thin
177,40,thin
178,51,thin
162,90,fat
199,58,thin
193,42,thin
193,37,thin
150,50,normal
196,53,thin
175,73,normal
185,61,thin
155,91,fat
191,46,thin
182,57,thin
200,72,thin
154,55,normal
175,38,thin
171,36,thin
159,48,normal
155,36,thin
167,82,fat
166,73,fat
196,80,normal
157,56,normal
178,47,thin
194,90,normal
200,87,normal
173,70,normal
173,48,thin
156,76,fat
167,64,normal
194,76,normal
166,96,fat
180,78,fat
150,50,normal
155,86,fat
150,55,fat
164,91,fat
181,85,fat
194,84,normal
194,43,thin
155,55,normal
188,92,fat
160,92,fat
169,73,fat
196,65,thin
153,35,thin
162,75,fat
181,85,fat
185,75,normal
198,57,thin
158,43,thin
176,51,thin
155,77,fat
174,35,thin
170,94,fat
167,80,fat
154,74,fat
171,78,fat
151,48,normal
171,89,fat
165,69,fat
162,42,thin
176,52,thin
163,36,thin
197,64,thin
168,48,thin
153,53,normal
151,82,fat
184,46,thin
173,61,normal
161,90,fat
189,50,thin
155,45,normal
198,80,normal
180,58,thin
158,57,normal
196,98,fat
171,89,fat
156,58,normal
197,54,thin
169,91,fat
198,49,thin
153,38,thin
180,42,thin
153,100,fat
196,65,thin
199,75,normal
195,36,thin
169,56,normal
184,88,fat
190,88,fat
154,77,fat
157,40,thin
181,47,thin
153,95,fat
191,89,fat
199,74,normal
191,96,fat
181,89,fat
187,66,normal
185,95,fat
175,51,thin
190,60,thin
187,35,thin
179,77,fat
160,64,fat
180,70,normal
183,44,thin
163,53,normal
161,37,thin
160,98,fat
185,89,fat
164,87,fat
192,90,fat
160,57,normal
193,79,normal
185,98,fat
170,57,normal
178,57,thin
151,48,normal
165,67,fat
195,87,normal
186,71,normal
178,78,fat
190,93,fat
177,43,thin
194,35,thin
157,50,normal
184,99,fat
184,39,thin
159,60,normal
184,42,thin
151,50,normal
177,84,fat
178,38,thin
189,92,fat
174,40,thin
161,79,fat
153,60,fat
175,48,thin
167,70,fat
174,59,normal
193,85,normal
163,75,fat
165,48,thin
160,61,normal
196,97,fat
188,93,fat
199,59,thin
198,55,thin
190,49,thin
184,42,thin
155,53,normal
177,83,fat
173,50,thin
182,84,fat
188,98,fat
189,90,fat
153,63,fat
159,69,fat
180,92,fat
157,77,fat
168,35,thin
163,65,fat
194,99,fat
176,51,thin
155,39,thin
175,38,thin
182,70,normal
169,64,normal
159,40,thin
150,92,fat
198,96,fat
152,79,fat
156,36,thin
161,70,fat
187,97,fat
161,52,normal
181,82,fat
186,39,thin
156,93,fat
173,75,fat
199,85,normal
164,88,fat
198,75,normal
157,63,fat
168,95,fat
158,85,fat
169,53,normal
154,64,fat
154,59,fat
197,53,thin
199,88,normal
157,74,fat
157,47,normal
167,90,fat
180,53,thin
191,66,thin
170,88,fat
162,90,fat
161,58,normal
184,66,normal
166,74,fat
168,93,fat
166,98,fat
158,69,fat
159,60,normal
183,64,normal
162,76,fat
150,36,thin
186,99,fat
190,50,thin
179,93,fat
200,57,thin
173,95,fat
197,50,thin
169,52,thin
182,89,fat
196,86,normal
176,97,fat
186,82,normal
170,81,fat
179,74,normal
191,79,normal
189,36,thin
179,57,thin
186,70,normal
178,38,thin
172,100,fat
196,51,thin
176,81,fat
160,53,normal
193,75,normal
200,46,thin
182,90,fat
164,52,normal
169,70,fat
182,87,fat
150,46,normal
164,89,fat
193,98,fat
166,48,thin
163,83,fat
180,70,normal
178,80,fat
189,63,thin
183,48,thin
187,76,normal
185,45,thin
160,92,fat
157,90,fat
180,39,thin
182,52,thin
180,98,fat
177,84,fat
164,65,fat
164,94,fat
169,87,fat
196,68,thin
186,100,fat
157,86,fat
174,78,fat
190,39,thin
195,61,thin
155,36,thin
166,46,thin
160,100,fat
193,64,thin
182,48,thin
152,96,fat
189,64,thin
185,70,normal
193,37,thin
167,35,thin
177,81,fat
186,59,thin
182,36,thin
171,100,fat
170,40,thin
192,38,thin
172,88,fat
179,98,fat
151,93,fat
177,67,normal
174,54,thin
151,91,fat
184,82,fat
175,99,fat
176,51,thin
173,78,fat
189,100,fat
187,51,thin
185,36,thin
173,62,normal
153,68,fat
183,73,normal
164,48,thin
188,70,normal
160,36,thin
170,41,thin
199,43,thin
158,67,fat
174,37,thin
154,87,fat
173,67,normal
156,100,fat
164,67,fat
196,94,fat
191,100,fat
154,99,fat
189,89,fat
173,56,normal
170,84,fat
153,98,fat
199,39,thin
184,90,fat
184,72,normal
189,49,thin
150,80,fat
186,47,thin
192,80,normal
169,68,normal
197,41,thin
168,64,normal
185,78,normal
185,73,normal
176,46,thin
175,70,normal
191,79,normal
156,67,fat
155,98,fat
156,45,thin
150,78,fat
179,39,thin
154,99,fat
178,35,thin
185,75,normal
191,59,thin
171,43,thin
198,51,thin
180,55,thin
178,78,fat
180,83,fat
197,77,normal
161,90,fat
151,56,fat
188,49,thin
164,44,thin
173,83,fat
194,41,thin
155,74,fat
179,91,fat
164,49,thin
166,93,fat
173,68,normal
175,41,thin
161,72,fat
156,60,fat
185,67,normal
182,74,normal
193,53,thin
188,59,thin
192,80,normal
164,66,fat
173,41,thin
176,48,thin
152,49,normal
159,98,fat
182,96,fat
166,76,fat
181,99,fat
200,67,thin
164,68,fat
165,48,thin
200,44,thin
192,62,thin
183,58,thin
184,76,normal
172,78,fat
177,35,thin
174,51,thin
187,39,thin
181,81,fat
162,92,fat
167,85,fat
158,52,normal
186,96,fat
199,93,normal
161,57,normal
194,75,normal
169,48,thin
157,48,normal
184,72,normal
189,96,fat
185,49,thin
172,48,thin
182,37,thin
161,77,fat
195,79,normal
168,71,fat
186,61,thin
162,55,normal
177,74,normal
157,53,normal
197,88,normal
200,58,thin
182,57,thin
182,84,fat
179,85,fat
158,96,fat
159,36,thin
170,38,thin
185,52,thin
153,82,fat
163,73,fat
199,86,normal
197,91,normal
160,68,fat
169,100,fat
154,72,fat
192,48,thin
150,73,fat
160,47,thin
169,100,fat
199,49,thin
199,98,fat
174,74,fat
159,69,fat
154,99,fat
169,70,fat
182,58,thin
178,57,thin
150,77,fat
156,65,fat
191,59,thin
199,98,fat
158,81,fat
159,41,thin
191,96,fat
194,67,thin
188,50,thin
164,84,fat
199,55,thin
157,41,thin
184,55,thin
165,98,fat
158,41,thin
155,94,fat
162,93,fat
184,58,thin
174,49,thin
161,53,normal
172,77,fat
163,37,thin
191,43,thin
184,57,thin
172,82,fat
176,67,normal
160,54,normal
198,38,thin
164,64,normal
178,54,thin
191,70,normal
155,79,fat
189,41,thin
184,36,thin
170,99,fat
197,98,fat
154,83,fat
158,46,thin
166,68,fat
172,94,fat
157,74,fat
160,49,normal
195,72,normal
189,74,normal
197,91,normal
159,38,thin
167,48,thin
160,43,thin
197,89,normal
179,88,fat
161,39,thin
188,35,thin
163,62,normal
166,86,fat
193,71,normal
183,83,fat
166,41,thin
161,37,thin
187,40,thin
184,74,normal
191,96,fat
155,53,normal
185,51,thin
198,43,thin
182,77,normal
173,67,normal
171,70,normal
175,84,fat
157,71,fat
163,89,fat
192,72,normal
171,65,normal
173,96,fat
159,85,fat
153,57,fat
154,51,normal
199,52,thin
154,36,thin
192,39,thin
199,35,thin
176,80,fat
154,79,fat
158,61,fat
169,71,fat
159,46,thin
171,48,thin
189,73,normal
161,67,fat
162,56,normal
195,39,thin
178,84,fat
195,95,fat
163,86,fat
186,95,fat
189,71,normal
150,81,fat
159,73,fat
192,54,thin
152,66,fat
171,44,thin
152,60,fat
183,79,normal
170,97,fat
161,66,fat
167,63,normal
177,67,normal
192,73,normal
196,59,thin
167,100,fat
167,90,fat
166,78,fat
166,55,normal
195,41,thin
179,78,fat
198,59,thin
196,70,thin
175,60,normal
186,67,normal
153,88,fat
173,89,fat
166,59,normal
177,63,normal
174,100,fat
170,97,fat
152,65,fat
195,88,normal
156,100,fat
154,98,fat
155,55,normal
163,38,thin
183,74,normal
166,77,fat
185,46,thin
150,61,fat
188,65,thin
153,97,fat
156,76,fat
171,99,fat
173,69,normal
193,92,fat
190,54,thin
171,51,thin
164,86,fat
154,43,thin
188,93,fat
173,82,fat
164,56,normal
164,86,fat
184,38,thin
165,80,fat
162,87,fat
178,83,fat
197,49,thin
158,81,fat
164,54,normal
162,85,fat
187,58,thin
161,82,fat
192,65,thin
197,49,thin
197,53,thin
194,97,fat
166,95,fat
156,42,thin
173,50,thin
162,71,fat
153,60,fat
162,61,normal
167,40,thin
152,55,normal
173,82,fat
196,42,thin
194,43,thin
198,95,fat
178,68,normal
180,69,normal
185,47,thin
151,88,fat
195,55,thin
176,76,fat
177,43,thin
177,90,fat
184,93,fat
175,39,thin
168,64,normal
184,67,normal
156,48,normal
188,58,thin
151,48,normal
156,53,normal
184,65,normal
191,85,normal
173,47,thin
199,65,thin
191,68,normal
199,86,normal
155,49,normal
153,99,fat
172,65,normal
181,86,fat
150,55,fat
197,45,thin
159,90,fat
163,54,normal
181,87,fat
160,53,normal
177,44,thin
162,35,thin
163,37,thin
166,53,normal
188,46,thin
169,85,fat
162,53,normal
180,98,fat
174,96,fat
161,88,fat
187,55,thin
165,50,thin
156,64,fat
171,43,thin
169,67,normal
177,44,thin
188,48,thin
178,68,normal
182,40,thin
157,77,fat
191,53,thin
182,58,thin
175,76,fat
182,71,normal
183,97,fat
171,46,thin
197,48,thin
185,72,normal
172,37,thin
170,94,fat
157,78,fat
165,91,fat
197,63,thin
183,99,fat
198,42,thin
158,71,fat
194,61,thin
170,97,fat
154,74,fat
195,83,normal
156,56,normal
175,88,fat
156,44,thin
163,70,fat
170,71,fat
180,96,fat
171,88,fat
160,64,fat
196,66,thin
171,69,normal
193,38,thin
188,81,normal
192,89,fat
160,62,fat
156,56,normal
156,61,fat
166,100,fat
166,64,normal
150,53,normal
168,92,fat
182,46,thin
179,84,fat
190,62,thin
182,40,thin
198,71,thin
152,64,fat
156,83,fat
161,97,fat
192,36,thin
179,71,normal
189,74,normal
190,89,fat
187,90,fat
172,37,thin
186,36,thin
182,37,thin
158,39,thin
168,56,normal
175,63,normal
156,41,thin
194,42,thin
192,97,fat
180,67,normal
192,48,thin
190,95,fat
156,49,normal
192,52,thin
163,96,fat
166,81,fat
173,84,fat
172,64,normal
196,97,fat
181,53,thin
176,70,normal
158,83,fat
167,43,thin
160,40,thin
185,46,thin
195,35,thin
181,45,thin
162,57,normal
181,96,fat
150,72,fat
162,77,fat
155,38,thin
169,35,thin
159,70,fat
194,45,thin
199,62,thin
150,47,normal
190,70,normal
155,43,thin
169,78,fat
156,38,thin
200,77,normal
162,56,normal
153,51,normal
154,60,fat
165,38,thin
196,56,thin
170,81,fat
152,61,fat
167,72,fat
164,59,normal
177,41,thin
166,95,fat
187,85,fat
158,59,normal
182,100,fat
178,82,fat
186,97,fat
154,46,normal
162,50,normal
157,46,normal
161,69,fat
186,56,thin
190,40,thin
167,67,fat
188,43,thin
177,68,normal
161,84,fat
184,61,thin
188,54,thin
196,68,thin
198,44,thin
169,67,normal
163,56,normal
154,75,fat
178,65,normal
153,49,normal
176,86,fat
158,97,fat
200,85,normal
192,46,thin
151,76,fat
196,77,normal
195,88,normal
152,77,fat
196,67,thin
176,48,thin
174,100,fat
167,66,normal
192,49,thin
166,35,thin
165,74,fat
175,52,thin
164,83,fat
174,57,normal
171,66,normal
195,99,fat
168,99,fat
184,88,fat
171,43,thin
171,85,fat
168,72,fat
159,47,normal
184,100,fat
182,64,normal
157,43,thin
196,80,normal
163,36,thin
158,67,fat
167,92,fat
151,91,fat
172,52,thin
196,43,thin
162,73,fat
171,99,fat
167,62,normal
176,82,fat
188,60,thin
190,58,thin
157,46,normal
175,85,fat
154,71,fat
194,94,fat
170,41,thin
196,98,fat
195,76,normal
187,87,fat
170,57,normal
173,46,thin
156,80,fat
169,99,fat
162,53,normal
196,42,thin
173,80,fat
173,37,thin
167,86,fat
185,71,normal
168,72,fat
173,49,thin
190,72,normal
195,93,fat
154,71,fat
182,55,thin
187,100,fat
157,41,thin
168,78,fat
180,88,fat
165,53,normal
168,75,fat
195,57,thin
191,64,thin
188,77,normal
194,56,thin
166,67,fat
183,65,normal
163,71,fat
192,95,fat
178,64,normal
156,66,fat
199,39,thin
166,44,thin
193,69,normal
194,78,normal
176,72,normal
155,51,normal
161,79,fat
151,70,fat
161,60,normal
160,81,fat
163,86,fat
174,35,thin
157,87,fat
186,43,thin
162,80,fat
172,80,fat
183,78,normal
188,74,normal
160,40,thin
168,70,fat
164,94,fat
151,36,thin
198,88,normal
168,59,normal
199,58,thin
173,72,fat
187,48,thin
183,49,thin
171,67,normal
191,88,fat
169,48,thin
188,91,fat
153,95,fat
156,92,fat
157,68,fat
167,59,normal
164,48,thin
183,38,thin
198,62,thin
171,46,thin
158,92,fat
152,53,normal
176,86,fat
159,79,fat
197,96,fat
152,68,fat
156,72,fat
198,67,thin
178,42,thin
196,43,thin
174,69,normal
183,52,thin
152,70,fat
189,56,thin
164,66,fat
163,62,normal
168,92,fat
174,74,fat
188,92,fat
191,61,thin
198,45,thin
181,60,thin
159,53,normal
190,42,thin
157,85,fat
199,75,normal
159,37,thin
170,38,thin
163,50,normal
181,77,normal
186,50,thin
161,52,normal
162,62,normal
198,65,thin
177,72,normal
193,94,fat
176,76,fat
179,64,normal
186,58,thin
173,90,fat
165,65,normal
195,92,fat
169,99,fat
195,46,thin
199,62,thin
155,63,fat
168,39,thin
162,73,fat
155,44,thin
166,78,fat
180,75,normal
187,37,thin
197,80,normal
200,98,fat
199,66,thin
165,77,fat
172,93,fat
186,89,fat
174,77,fat
175,55,thin
176,64,normal
168,79,fat
160,55,normal
151,76,fat
194,78,normal
189,64,thin
153,71,fat
177,49,thin
165,43,thin
160,60,normal
178,42,thin
199,54,thin
163,69,fat
177,79,fat
171,50,thin
170,60,normal
170,35,thin
165,89,fat
197,95,fat
170,35,thin
169,64,normal
171,73,fat
151,43,normal
178,45,thin
157,78,fat
157,70,fat
177,54,thin
191,83,normal
199,61,thin
168,61,normal
153,92,fat
186,35,thin
160,94,fat
162,42,thin
178,41,thin
170,53,thin
176,87,fat
195,42,thin
177,87,fat
165,93,fat
183,92,fat
169,51,thin
163,50,normal
159,62,fat
192,79,normal
183,52,thin
181,44,thin
160,86,fat
181,69,normal
153,83,fat
181,61,normal
200,77,normal
186,90,fat
188,86,fat
191,62,thin
197,69,thin
177,78,fat
200,38,thin
166,87,fat
197,69,thin
184,92,fat
186,98,fat
162,100,fat
161,93,fat
150,42,normal
151,84,fat
154,89,fat
169,56,normal
162,94,fat
188,86,fat
184,86,fat
175,58,normal
193,72,normal
167,86,fat
165,56,normal
184,42,thin
163,48,thin
160,92,fat
176,48,thin
163,85,fat
156,48,normal
165,47,thin
196,45,thin
190,98,fat
170,91,fat
151,39,thin
181,52,thin
166,94,fat
168,41,thin
178,71,normal
177,44,thin
153,81,fat
160,80,fat
168,97,fat
157,84,fat
190,90,fat
155,46,normal
154,52,normal
190,36,thin
195,57,thin
170,71,fat
170,90,fat
161,93,fat
185,64,normal
194,64,thin
155,66,fat
179,85,fat
159,43,thin
191,79,normal
193,58,thin
171,83,fat
196,100,fat
194,71,normal
171,91,fat
199,88,normal
169,43,thin
163,43,thin
183,87,fat
182,40,thin
150,76,fat
160,97,fat
160,83,fat
151,77,fat
174,68,normal
189,55,thin
193,48,thin
158,49,normal
191,78,normal
179,65,normal
161,97,fat
189,100,fat
160,45,thin
187,53,thin
170,67,normal
191,85,normal
166,35,thin
157,73,fat
193,37,thin
192,40,thin
181,87,fat
183,48,thin
180,90,fat
169,98,fat
163,70,fat
198,67,thin
189,95,fat
156,75,fat
191,87,normal
154,86,fat
196,56,thin
194,72,normal
174,86,fat
171,77,fat
150,47,normal
163,57,normal
199,75,normal
199,72,thin
198,97,fat
150,60,fat
198,37,thin
152,46,normal
174,58,normal
180,98,fat
196,82,normal
189,93,fat
181,50,thin
155,86,fat
154,70,fat
185,77,normal
180,49,thin
186,83,normal
188,80,normal
171,36,thin
151,43,normal
157,93,fat
158,69,fat
180,97,fat
194,96,fat
188,73,normal
169,75,fat
181,80,fat
164,43,thin
178,63,normal
174,88,fat
197,67,thin
176,70,normal
170,81,fat
189,66,thin
171,82,fat
170,49,thin
176,94,fat
182,42,thin
190,67,normal
171,80,fat
154,94,fat
153,49,normal
190,81,normal
188,39,thin
189,92,fat
151,47,normal
176,54,thin
166,65,normal
200,85,normal
199,65,thin
191,49,thin
152,92,fat
156,56,normal
193,57,thin
170,74,fat
150,56,fat
171,93,fat
199,91,normal
177,36,thin
198,74,normal
189,73,normal
194,90,normal
150,60,fat
151,94,fat
167,43,thin
175,81,fat
152,72,fat
163,98,fat
197,36,thin
194,45,thin
198,62,thin
180,75,normal
152,92,fat
150,71,fat
176,71,normal
196,48,thin
185,48,thin
166,51,normal
166,55,normal
162,69,fat
194,95,fat
176,38,thin
155,41,thin
193,38,thin
155,44,thin
172,36,thin
177,65,normal
177,47,thin
191,74,normal
185,55,thin
150,53,normal
169,48,thin
151,97,fat
175,38,thin
161,90,fat
195,66,thin
162,83,fat
151,40,thin
163,92,fat
181,78,normal
172,42,thin
190,41,thin
178,49,thin
199,40,thin
182,36,thin
162,89,fat
174,86,fat
175,83,fat
199,74,normal
190,60,thin
165,35,thin
152,45,normal
165,45,thin
196,100,fat
165,63,normal
166,82,fat
177,97,fat
165,55,normal
150,52,normal
195,37,thin
200,70,thin
189,67,normal
157,50,normal
150,100,fat
178,73,normal
184,72,normal
173,81,fat
153,74,fat
189,41,thin
167,96,fat
163,82,fat
183,63,normal
185,88,fat
193,88,normal
151,36,thin
199,97,fat
189,40,thin
162,47,thin
184,43,thin
165,65,normal
189,72,normal
169,93,fat
156,71,fat
155,48,normal
150,38,thin
153,74,fat
162,73,fat
155,45,normal
191,82,normal
175,83,fat
160,83,fat
169,68,normal
181,42,thin
200,43,thin
188,96,fat
155,90,fat
171,99,fat
175,92,fat
172,35,thin
171,68,normal
174,39,thin
153,78,fat
190,61,thin
177,54,thin
166,60,normal
172,78,fat
189,61,thin
168,74,fat
182,35,thin
177,77,fat
175,93,fat
181,46,thin
162,79,fat
187,64,thin
176,53,thin
159,100,fat
191,62,thin
183,68,normal
190,95,fat
187,53,thin
155,60,fat
176,98,fat
173,60,normal
192,81,normal
179,83,fat
174,95,fat
155,71,fat
150,38,thin
184,72,normal
165,41,thin
159,57,normal
178,58,thin
157,77,fat
181,69,normal
173,43,thin
160,54,normal
163,100,fat
197,68,thin
187,81,normal
161,90,fat
151,63,fat
159,60,normal
185,95,fat
194,51,thin
192,68,thin
173,54,thin
150,60,fat
165,61,normal
171,50,thin
161,86,fat
167,78,fat
176,99,fat
161,41,thin
183,49,thin
198,77,normal
198,38,thin
156,74,fat
178,58,thin
195,76,normal
194,48,thin
194,76,normal
167,42,thin
187,89,fat
172,46,thin
166,74,fat
195,73,normal
171,96,fat
157,69,fat
159,61,fat
195,96,fat
169,56,normal
193,42,thin
164,85,fat
177,48,thin
162,62,normal
166,48,thin
153,56,normal
153,60,fat
187,93,fat
159,52,normal
168,98,fat
185,66,normal
165,72,fat
197,68,thin
200,99,fat
196,72,normal
194,87,normal
165,90,fat
158,83,fat
193,69,normal
172,98,fat
183,82,fat
182,65,normal
178,62,normal
157,66,fat
155,67,fat
199,52,thin
164,62,normal
186,56,thin
173,72,fat
193,65,thin
182,57,thin
188,94,fat
199,90,normal
158,79,fat
192,51,thin
200,64,thin
169,71,fat
156,94,fat
198,83,normal
161,89,fat
150,94,fat
179,97,fat
174,54,thin
173,68,normal
186,65,normal
155,58,fat
172,69,normal
197,40,thin
153,95,fat
157,76,fat
167,53,normal
159,38,thin
187,37,thin
162,80,fat
176,37,thin
161,92,fat
196,92,normal
180,37,thin
164,66,fat
161,44,thin
176,86,fat
190,43,thin
182,70,normal
162,66,fat
167,46,thin
178,97,fat
193,40,thin
193,40,thin
161,59,normal
160,67,fat
200,90,normal
172,58,normal
171,68,normal
157,76,fat
193,38,thin
196,98,fat
156,48,normal
173,38,thin
155,69,fat
165,92,fat
191,58,thin
196,55,thin
189,75,normal
151,85,fat
195,94,fat
198,76,normal
195,55,thin
169,88,fat
186,68,normal
163,62,normal
190,53,thin
192,74,normal
165,53,normal
191,78,normal
168,59,normal
168,67,normal
182,95,fat
151,52,normal
158,62,fat
158,59,normal
181,48,thin
181,82,fat
174,96,fat
189,39,thin
164,99,fat
162,51,normal
171,63,normal
200,56,thin
177,55,thin
164,65,fat
174,89,fat
171,48,thin
191,70,normal
190,44,thin
196,58,thin
151,48,normal
150,68,fat
171,84,fat
159,67,fat
167,45,thin
183,90,fat
151,82,fat
160,76,fat
169,53,normal
155,37,thin
200,81,normal
196,64,thin
175,66,normal
180,97,fat
161,78,fat
159,72,fat
190,81,normal
170,59,normal
188,72,normal
150,71,fat
174,93,fat
173,88,fat
153,47,normal
161,57,normal
197,36,thin
191,77,normal
190,67,normal
170,37,thin
151,86,fat
193,80,normal
194,82,normal
186,41,thin
190,98,fat
179,86,fat
167,98,fat
156,44,thin
165,59,normal
169,43,thin
180,82,fat
190,63,thin
193,69,normal
152,68,fat
195,90,normal
179,60,normal
180,59,thin
164,51,normal
197,100,fat
158,35,thin
163,58,normal
163,55,normal
164,67,fat
157,63,fat
153,68,fat
154,82,fat
168,55,normal
181,62,normal
180,85,fat
174,39,thin
171,70,normal
162,79,fat
186,53,thin
171,39,thin
191,38,thin
166,49,thin
156,83,fat
160,67,fat
194,50,thin
181,73,normal
186,59,thin
156,50,normal
154,99,fat
165,64,normal
194,42,thin
183,99,fat
155,61,fat
194,50,thin
167,47,thin
177,72,normal
192,55,thin
174,50,thin
186,66,normal
164,87,fat
159,94,fat
165,97,fat
166,49,thin
164,76,fat
189,58,thin
165,59,normal
155,72,fat
158,70,fat
157,37,thin
175,98,fat
199,70,thin
167,62,normal
195,85,normal
165,86,fat
190,89,fat
197,96,fat
174,39,thin
154,48,normal
164,46,thin
190,54,thin
200,59,thin
194,63,thin
160,97,fat
200,88,normal
171,63,normal
186,63,thin
185,77,normal
191,48,thin
194,77,normal
182,35,thin
200,44,thin
183,88,fat
167,45,thin
151,98,fat
174,96,fat
194,83,normal
188,97,fat
187,55,thin
195,88,normal
171,70,normal
186,94,fat
184,44,thin
174,63,normal
176,46,thin
162,86,fat
151,70,fat
172,58,normal
166,71,fat
171,85,fat
157,86,fat
